Category	Species	Biomolecule name	Biomolecule ID	Disease name	Disease ontology	ICD-10 classification	Tissue	PubMed_ID	Interaction gene symbol	Expression direction	Experimental method	Experimental method classification	Throughput	Description	Reference title	Year
microRNA	Homo sapiens	hsa-miR-26a	MIMAT0000082	Osteoporosis	DOID:11476	M80	subcutaneous human adipose tissue	18197755	SMAD1	upregulation	qRT-PCR/Northern blot	immunochemistry;PCR	Low-throughput	Our data suggest a role for miR-26a in the differentiation induced by treatment with dexamethasone, ascorbic acid, and beta-glycerol phosphate of hADSCs toward the osteogenic lineage by targeting its predicted target, the SMAD1 protein.	Osteogenic differentiation of human adipose tissue-derived stem cells is modulated by the miR-26a targeting of the SMAD1 transcription factor.	2008
microRNA	Homo sapiens	hsa-miR-433	MIMAT0001627	Parkinson's disease	DOID:14330	G20	-	18252210	FGF20	downregulation	luciferase assay	luciferase assays	Low-throughput	We show in several functional assays that the risk allele for rs12720208 disrupts a binding site for microRNA-433, increasing translation of FGF20 in vitro and in vivo. In a cell-based system and in PD brains, this increase in translation of FGF20 is correlated with increased alpha-synuclein expression, which has previously been shown to cause PD through bothoverexpression and point mutations.	Variation in the miRNA-433 Binding Site of FGF20 Confers Risk for Parkinson Disease by Overexpression of α-Synuclein	2008
microRNA	Rattus norvegicus	rno-miR-375	MIMAT0005307	Diabetes mellitus	DOID:9351	E10-E14	beta-cell	18591395	PDK1	downregulation	qRT-PCR	PCR	Low-throughput	miR-375 expression was found to be decreased in fed diabetic GK rat islets.	miR-375 targets 3'-phosphoinositide-dependent protein kinase-1 and regulates glucose-induced biological responses in pancreatic beta-cells.	2008
microRNA	Mus musculus	mmu-miR-146	MIMAT0000158	Type II diabetes mellitus	DOID:9352	E11	pancreatic islets	18633110	-	upregulation	microarray/qRT-PCR	array;PCR	Low-throughput	Prolonged exposure of the beta-cell line MIN6B1 and pancreatic islets to palmitate causes a time- and dose-dependent increase of miR34a and miR146.	Alterations in microRNA expression contribute to fatty acid-induced pancreatic beta-cell dysfunction.	2008
microRNA	Mus musculus	mmu-miR-34a	MIMAT0000542	Type II diabetes mellitus	DOID:9352	E11	pancreatic islets	18633110	p53	upregulation	microarray/qRT-PCR	array;PCR	Low-throughput	Prolonged exposure of the beta-cell line MIN6B1 and pancreatic islets to palmitate causes a time- and dose-dependent increase of miR34a and miR146.	Alterations in microRNA expression contribute to fatty acid-induced pancreatic beta-cell dysfunction.	2008
microRNA	Mus musculus	mmu-miR-377	MIMAT0000741	Diabetic nephropathy	-	E14	kidney	18716028	PAK/SOD	upregulation	qPCR	PCR	Low-throughput	Overexpression of miR-377 in diabetic nephropathy indirectly leads to increased fibronectin protein production; as such, miR-377 can have a critical role in the pathophysiology of this prevalent human disease.	microRNA-377 is up-regulated and can lead to increased fibronectin production in diabetic nephropathy.	2008
microRNA	Mus musculus	mmu-miR-143	MIMAT0000247	Obesity	DOID:9970	E66	adipose tissue	18809385	-	upregulation	qRT-PCR	PCR	Low-throughput	The up-regulated expression of miR-143 in the mesenteric fat of high-fat diet-induced obese mice, which might contribute to the regulated expression of adipocyte genes involved in the pathophysiology of obesity.	Up-regulated expression of microRNA-143 in association with obesity in adipose tissue of mice fed high-fat diet.	2008
microRNA	Rattus norvegicus	rno-miR-320	MIMAT0000903	Type II diabetes mellitus	DOID:9352	E11	heart	18986336	Flk-1/IGF-1/IGF-1R	upregulation	RT-PCR	PCR	Low-throughput	Transfection of an miR-320 inhibitor may be a therapeutic approach for the treatment of impaired angiogenesis in diabetes.	microRNA-320 expression in myocardial microvascular endothelial cells and its relationship with insulin-like growth factor-1 in type 2 diabetic rats.	2009
microRNA	Mus musculus	mmu-miR-122	MIMAT0000246	Non-alcoholic steatohepatitis	-	-	liver	19030170	-	downregulation	microarray/real-time qPCR	array;PCR	Low-throughput	The miR-122 level was significantly decreased in subjects with NASH (63% by real-time PCR, P < 0.00001).	Nonalcoholic steatohepatitis is associated with altered hepatic microRNA expression	2008
microRNA	Homo sapiens	hsa-miR-7	MIMAT0000252	Diabetes mellitus	DOID:9351	E10-E14	islet cells	19135553	-	downregulation	qRT-PCR	PCR	Low-throughput	The specific localization of miR-7 expression to fetal and adult endocrine cells indicates a potential role for miR-7 in endocrine cell differentiation and/or function.	microRNA miR-7 is preferentially expressed in endocrine cells of the developing and adult human pancreas.	2009
microRNA	Mus musculus	mmu-miR-103	MIMAT0000546	Obesity	DOID:9970	E66	adipocytes	19188425	PANK1	differential expression	microarray/RT-PCR	array;PCR	Low-throughput	Ectopic expression of miR-103 or miR-143 in preadipocytes accelerated adipogenesis, as measured both by the upregulation of many adipogenesis markers and by an increase in triglyceride accumulation at an early stage of adipogenesis.	microRNAs induced during adipogenesis that accelerate fat cell development are downregulated in obesity.	2009
microRNA	Mus musculus	mmu-miR-143	MIMAT0000247	Obesity	DOID:9970	E66	adipocytes	19188425	-	differential expression	microarray/RT-PCR	array;PCR	Low-throughput	Ectopic expression of miR-103 or miR-144 in preadipocytes accelerated adipogenesis, as measured both by the upregulation of many adipogenesis markers and by an increase in triglyceride accumulation at an early stage of adipogenesis.	microRNAs induced during adipogenesis that accelerate fat cell development are downregulated in obesity.	2009
microRNA	Homo sapiens	hsa-miR-132	MIMAT0000426	Type II diabetes mellitus	DOID:9352	E11	adipose tissue	19259271	-	downregulation	PCR	PCR	Low-throughput	we found significantly higher expression of miR-17-5p, miR-132, miR-134 in omental fat of NGT compared to T2D, whereas the opposite pattern was found for miR-181a. In SC fat, expression of miR-27a, miR-30e, miR-140, miR-155, miR-210 was significantly higher and expression of miR-147 and miR-197 was lower in NGT as compared to the T2D group.	microRNA expression in human omental and subcutaneous adipose tissue	2009
microRNA	Homo sapiens	hsa-miR-134	MIMAT0000447	Type II diabetes mellitus	DOID:9352	E11	adipose tissue	19259271	-	downregulation	PCR	PCR	Low-throughput	we found significantly higher expression of miR-17-5p, miR-132, miR-134 in omental fat of NGT compared to T2D, whereas the opposite pattern was found for miR-181a. In SC fat, expression of miR-27a, miR-30e, miR-140, miR-155, miR-210 was significantly higher and expression of miR-147 and miR-197 was lower in NGT as compared to the T2D group.	microRNA expression in human omental and subcutaneous adipose tissue	2009
microRNA	Homo sapiens	hsa-miR-140	MIMAT0000431	Type II diabetes mellitus	DOID:9352	E11	adipose tissue	19259271	-	downregulation	PCR	PCR	Low-throughput	we found significantly higher expression of miR-17-5p, miR-132, miR-134 in omental fat of NGT compared to T2D, whereas the opposite pattern was found for miR-181a. In SC fat, expression of miR-27a, miR-30e, miR-140, miR-155, miR-210 was significantly higher and expression of miR-147 and miR-197 was lower in NGT as compared to the T2D group.	microRNA expression in human omental and subcutaneous adipose tissue	2009
microRNA	Homo sapiens	hsa-miR-145	MIMAT0000437	Type II diabetes mellitus	DOID:9352	E11	adipose tissue	19259271	-	differential expression	PCR	PCR	Low-throughput	We identified significant correlations between the expression of miRNA-17-5p, -132, -99a, -134, 181a, -145, -197 and both adipose tissue morphology and key metabolic parameters, including visceral fat area, HbA(1c), fasting plasma glucose, and circulating leptin, adiponectin, interleukin-6.	microRNA expression in human omental and subcutaneous adipose tissue.	2009
microRNA	Homo sapiens	hsa-miR-147	MIMAT0000251	Type II diabetes mellitus	DOID:9352	E11	adipose tissue	19259271	-	upregulation	PCR	PCR	Low-throughput	we found significantly higher expression of miR-17-5p, miR-132, miR-134 in omental fat of NGT compared to T2D, whereas the opposite pattern was found for miR-181a. In SC fat, expression of miR-27a, miR-30e, miR-140, miR-155, miR-210 was significantly higher and expression of miR-147 and miR-197 was lower in NGT as compared to the T2D group.	microRNA expression in human omental and subcutaneous adipose tissue	2009
microRNA	Homo sapiens	hsa-miR-155	MIMAT0000646	Type II diabetes mellitus	DOID:9352	E11	adipose tissue	19259271	-	downregulation	PCR	PCR	Low-throughput	we found significantly higher expression of miR-17-5p, miR-132, miR-134 in omental fat of NGT compared to T2D, whereas the opposite pattern was found for miR-181a. In SC fat, expression of miR-27a, miR-30e, miR-140, miR-155, miR-210 was significantly higher and expression of miR-147 and miR-197 was lower in NGT as compared to the T2D group.	microRNA expression in human omental and subcutaneous adipose tissue	2009
microRNA	Homo sapiens	hsa-miR-17-5p	MIMAT0000070	Type II diabetes mellitus	DOID:9352	E11	adipose tissue	19259271	-	downregulation	PCR	PCR	Low-throughput	we found significantly higher expression of miR-17-5p, miR-132, miR-134 in omental fat of NGT compared to T2D, whereas the opposite pattern was found for miR-181a. In SC fat, expression of miR-27a, miR-30e, miR-140, miR-155, miR-210 was significantly higher and expression of miR-147 and miR-197 was lower in NGT as compared to the T2D group.	microRNA expression in human omental and subcutaneous adipose tissue	2009
microRNA	Homo sapiens	hsa-miR-181a	MIMAT0000256	Type II diabetes mellitus	DOID:9352	E11	adipose tissue	19259271	-	upregulation	PCR	PCR	Low-throughput	we found significantly higher expression of miR-17-5p, miR-132, miR-134 in omental fat of NGT compared to T2D, whereas the opposite pattern was found for miR-181a.Our data suggest that expression of miR-17-5p, miR-132, miR-134, miR-181a, miR-27a, miR-30e, miR-140, miR-147, miR-155, miR-197, and miR-210 play a role in the link between adipose tissue dysfunction and the development of obesity associated disorders including type 2 diabetes.	microRNA expression in human omental and subcutaneous adipose tissue	2009
microRNA	Homo sapiens	hsa-miR-197	MIMAT0000227	Type II diabetes mellitus	DOID:9352	E11	adipose tissue	19259271	-	upregulation	PCR	PCR	Low-throughput	we found significantly higher expression of miR-17-5p, miR-132, miR-134 in omental fat of NGT compared to T2D, whereas the opposite pattern was found for miR-181a. In SC fat, expression of miR-27a, miR-30e, miR-140, miR-155, miR-210 was significantly higher and expression of miR-147 and miR-197 was lower in NGT as compared to the T2D group.	microRNA expression in human omental and subcutaneous adipose tissue	2009
microRNA	Homo sapiens	hsa-miR-210	MIMAT0000267	Type II diabetes mellitus	DOID:9352	E11	adipose tissue	19259271	-	downregulation	PCR	PCR	Low-throughput	we found significantly higher expression of miR-17-5p, miR-132, miR-134 in omental fat of NGT compared to T2D, whereas the opposite pattern was found for miR-181a. In SC fat, expression of miR-27a, miR-30e, miR-140, miR-155, miR-210 was significantly higher and expression of miR-147 and miR-197 was lower in NGT as compared to the T2D group.	microRNA expression in human omental and subcutaneous adipose tissue	2009
microRNA	Homo sapiens	hsa-miR-27a	MIMAT0000084	Type II diabetes mellitus	DOID:9352	E11	adipose tissue	19259271	-	downregulation	PCR	PCR	Low-throughput	we found significantly higher expression of miR-17-5p, miR-132, miR-134 in omental fat of NGT compared to T2D, whereas the opposite pattern was found for miR-181a. In SC fat, expression of miR-27a, miR-30e, miR-140, miR-155, miR-210 was significantly higher and expression of miR-147 and miR-197 was lower in NGT as compared to the T2D group.	microRNA expression in human omental and subcutaneous adipose tissue	2009
microRNA	Homo sapiens	hsa-miR-30e	MIMAT0000692	Type II diabetes mellitus	DOID:9352	E11	adipose tissue	19259271	-	downregulation	PCR	PCR	Low-throughput	we found significantly higher expression of miR-17-5p, miR-132, miR-134 in omental fat of NGT compared to T2D, whereas the opposite pattern was found for miR-181a. In SC fat, expression of miR-27a, miR-30e, miR-140, miR-155, miR-210 was significantly higher and expression of miR-147 and miR-197 was lower in NGT as compared to the T2D group.	microRNA expression in human omental and subcutaneous adipose tissue	2009
microRNA	Homo sapiens	hsa-miR-99a	MIMAT0000097	Type II diabetes mellitus	DOID:9352	E11	adipose tissue	19259271	-	differential expression	PCR	PCR	Low-throughput	We identified significant correlations between the expression of miRNA-17-5p, -132, -99a, -134, 181a, -145, -197 and both adipose tissue morphology and key metabolic parameters, including visceral fat area, HbA(1c), fasting plasma glucose, and circulating leptin, adiponectin, interleukin-6.	microRNA expression in human omental and subcutaneous adipose tissue.	2009
microRNA	Homo sapiens	hsa-miR-23	MIMAT0000078/MIMAT0000418	Adult-onset autosomal dominant leukodystrophy (ADLD)	DOID:10579	E75	myelin	19259393	lamin B1	downregulation	qPCR	PCR	Low-throughput	The microRNA miR-23 as a negative regulator of lamin B1 that can ameliorate the consequences of excessive lamin B1 at the cellular level. To date, autosomal dominant leukodystrophy (ADLD) is the only human disease that has been linked to an LMNB1 mutation.	miR-23 regulation of lamin B1 is crucial for oligodendrocyte development and myelination.	2009
microRNA	Mus musculus	mmu-miR-375	MIMAT0000739	Diabetes mellitus	DOID:9351	E10-E14	pancreatic islets	19289822	PEPCK/G6Pase	downregulation	real-time PCR	PCR	Low-throughput	miR-375 is essential for normal glucose homeostasis, alpha- and beta-cell turnover, and adaptive beta-cell expansion in response to increasing insulin demand in insulin resistance.	miR-375 maintains normal pancreatic alpha- and beta-cell mass.	2009
microRNA	Mus musculus	mmu-miR-375	MIMAT0000739	Insulin-resistant diabetes mellitus	-	E11	pancreatic islets	19289822	PEPCK/G6Pase	downregulation	real-time PCR	PCR	Low-throughput	miR-375 is essential for normal glucose homeostasis, alpha- and beta-cell turnover, and adaptive beta-cell expansion in response to increasing insulin demand in insulin resistance.	miR-375 maintains normal pancreatic alpha- and beta-cell mass.	2009
microRNA	Homo sapiens	hsa-miR-221	MIMAT0000278	Diabetes mellitus	DOID:9351	E10-E14	human umbilical vein endothelial cells	19351599	c-kit	upregulation	RT-PCR	PCR	Low-throughput	manipulation of the miR-221-c-kit pathway may offer a novel strategy for treatment of vascular dysfunction in diabetic patients.	microRNA-221 regulates high glucose-induced endothelial dysfunction.	2009
microRNA	Homo sapiens	hsa-miR-125b	MIMAT0000423	Alzheimer's disease	DOID:10652	G30	brain	19406203	-	upregulation	array/Northern blot	array;immunochemistry	Low-throughput	In short PMI Alzheimer's disease (AD)-affected temporal lobe neocortex, miRNA-9, miRNA-125b and miRNA-146a were found to be significantly up-regulated, an effect that was not seen in several related neurological disorders.	micro-RNA abundance and stability in human brain: specific alterations in Alzheimer's disease temporal lobe neocortex.	2009
microRNA	Homo sapiens	hsa-miR-146a	MIMAT0000449	Alzheimer's disease	DOID:10652	G30	brain	19406203	-	upregulation	array/Northern blot	array;immunochemistry	Low-throughput	In short PMI Alzheimer's disease (AD)-affected temporal lobe neocortex, miRNA-9, miRNA-125b and miRNA-146a were found to be significantly up-regulated, an effect that was not seen in several related neurological disorders.	micro-RNA abundance and stability in human brain: specific alterations in Alzheimer's disease temporal lobe neocortex.	2009
microRNA	Homo sapiens	hsa-miR-9	MIMAT0000441	Alzheimer's disease	DOID:10652	G30	brain	19406203	-	upregulation	array/Northern blot	array;immunochemistry	Low-throughput	In short PMI Alzheimer's disease (AD)-affected temporal lobe neocortex, miRNA-9, miRNA-125b and miRNA-146a were found to be significantly up-regulated, an effect that was not seen in several related neurological disorders.	micro-RNA abundance and stability in human brain: specific alterations in Alzheimer's disease temporal lobe neocortex.	2009
microRNA	Homo sapiens	hsa-miR-125b-5p	MIMAT0000423	Obesity	DOID:9970	E66	adipose tissue	19422302	-	downregulation	microarray/real-time qPCR	array;PCR	Low-throughput	Our results showed that the expression of rno-miR-31, rno-miR-125b-5p, and rno-miR-326 were downregulation in the adipogenic differentiation process.	Expression of miR-31, miR-125b-5p, and miR-326 in the adipogenic differentiation process of adipose-derived stem cells.	2009
microRNA	Homo sapiens	hsa-miR-31	MIMAT0000089	Obesity	DOID:9970	E66	adipose tissue	19422302	-	downregulation	microarray/real-time qPCR	array;PCR	Low-throughput	Our results showed that the expression of rno-miR-31, rno-miR-125b-5p, and rno-miR-326 were downregulation in the adipogenic differentiation process.	Expression of miR-31, miR-125b-5p, and miR-326 in the adipogenic differentiation process of adipose-derived stem cells.	2009
microRNA	Homo sapiens	hsa-miR-326	MIMAT0000756	Obesity	DOID:9970	E66	adipose tissue	19422302	-	downregulation	microarray/real-time qPCR	array;PCR	Low-throughput	Our results showed that the expression of rno-miR-31, rno-miR-125b-5p, and rno-miR-326 were downregulation in the adipogenic differentiation process.	Expression of miR-31, miR-125b-5p, and miR-326 in the adipogenic differentiation process of adipose-derived stem cells.	2009
microRNA	Mus musculus	mmu-miR-21	MIMAT0000530	Diabetic nephropathy	-	E14	mesangial cells	19450585	PTEN	differential expression	array/real-time RT-PCR	array;PCR	Low-throughput	the studies for the first time provide evidence for the potential role of miR-21 in early DN.	microRNA-21 protects from mesangial cell proliferation induced by diabetic nephropathy in db/db mice.	2009
microRNA	Mus musculus	mmu-miR-335	MIMAT0000766	Obesity	DOID:9970	E66	liver	19460359	PPARgamma/aP2/FAS	upregulation	microarray/real-time PCR	array;PCR	Low-throughput	The up-regulated expressions of miR-335 in liver and WAT of obese mice might contribute to the pathophysiology of obesity.	The up-regulation of microRNA-335 is associated with lipid metabolism in liver and white adipose tissue of genetically obese mice.	2009
microRNA	Mus musculus	mmu-miR-320	MIMAT0000666	Obesity	DOID:9970	E66	3T3-L1 adipocytes	19473196	GLUT-4	upregulation	microarray/Transfection Experiments	array;RNAi/knock down/transfection	Low-throughput	These findings provide the first evidence that the up-regulated expressions of miR-335 in liver and WAT of obese mice might contribute to the pathophysiology of obesity.	CHANGES IN microRNA (miR) profile and effects of miR-320 in insulin-resistant 3T3-L1 adipocytes.	2009
microRNA	Rattus norvegicus	rno-miR-24	MIMAT0000794	Type II diabetes mellitus	DOID:9352	E11	skeletal muscle	19499150	MAPK	differential expression	microarray/Northern blot	array;immunochemistry	Low-throughput	All the data give a clue that miR-24 might be associated with diabetes through down-regulation of p38 MAPK.	microRNA expression profiling in diabetic GK rat model.	2009
microRNA	Rattus norvegicus	rno-miR-192	MIMAT0000867	Diabetic nephropathy	-	E14	glomerular mesangial cells	19543271	Zeb2	upregulation	real-time qPCR	PCR	Low-throughput	miR-192 was shown to be upregulated in TGF-β-treated mouse MC (MMC) and in diabetic mouse glomeruli.	TGF-beta activates Akt kinase through a microRNA-dependent amplifying circuit targeting PTEN.	2009
microRNA	Rattus norvegicus	rno-miR-216a	MIMAT0000886	Type I diabetes mellitus	DOID:9744	E10	glomerular mesangial cells	19543271	PTEN	upregulation	real-time qPCR	PCR	Low-throughput	miR-216a levels were also increased in renal glomeruli isolated from type1 (streptozotocin [STZ] injected) and type 2 (db/db) diabetic mice relative to their respective controls	TGF-beta activates Akt kinase through a microRNA-dependent amplifying circuit targeting PTEN.	2009
microRNA	Rattus norvegicus	rno-miR-216a	MIMAT0000886	Type II diabetes mellitus	DOID:9352	E11	glomerular mesangial cells	19543271	PTEN	upregulation	real-time qPCR	PCR	Low-throughput	miR-216a levels were also increased in renal glomeruli isolated from type1 (streptozotocin [STZ] injected) and type 2 (db/db) diabetic mice relative to their respective controls	TGF-beta activates Akt kinase through a microRNA-dependent amplifying circuit targeting PTEN.	2009
microRNA	Rattus norvegicus	rno-miR-217	MIMAT0000887	Diabetic nephropathy	-	E14	glomerular mesangial cells	19543271	PTEN	upregulation	real-time qPCR	PCR	Low-throughput	Indeed, miR-217 levels were increased in TGF-β-treated MMC, and in the glomeruli of diabetic mice.	TGF-beta activates Akt kinase through a microRNA-dependent amplifying circuit targeting PTEN.	2009
microRNA	Rattus norvegicus	rno-miR-125a	MIMAT0000829	Type II diabetes mellitus	DOID:9352	E11	liver/adipose tissue	19689793	-	upregulation	microarray/RT-PCR	array;PCR	Low-throughput	MiR-125a is over-expressed in liver in hyperglycaemic GK rats relative to normoglycaemic BN rats, and our array data also suggest miR-125a is over-expressed in adipose tissue. We demonstrate the use of in-silico tools to provide the basis for further investigation of the potential role of miR-125a in T2D.	microRNA-125a is over-expressed in insulin target tissues in a spontaneous rat model of Type 2 Diabetes.	2009
microRNA	Rattus norvegicus	rno-miR-34a	MIMAT0000815	Aging	-	-	neurons	19697704	BCL-2	differential expression	Northern blot	immunochemistry	Low-throughput	miR-34a may play critical roles in neuronal development and ageing.	[The expression pattern and possible function of microRNA-34a in neurons].	2009
microRNA	Rattus norvegicus	rno-miR-133	-	Insulin-resistant diabetes mellitus	-	E11	cardiomyocytes	19720047	KLF15	upregulation	qRT-PCR/RNAi	PCR;RNAi/knock down/transfection	Low-throughput	Forced expression of miR-133 decreased GLUT4 expression and reduced insulin-mediated glucose uptake in cardiomyocytes.	MicroRNA-133 regulates the expression of GLUT4 by targeting KLF15 and is involved in metabolic control in cardiac myocytes.	2009
microRNA	Homo sapiens	hsa-miR-1	MIMAT0000416	Type II diabetes mellitus	DOID:9352	E11	skeletal muscle	19720801	SREBP-1c	downregulation	microarray/real-time qPCR	array;PCR	Low-throughput	Sterol regulatory element-binding protein (SREBP)-1c and myocyte enhancer factor 2C were involved in the effect of insulin on miR-1 and miR-133a expression. Interestingly, we found an impaired regulation of miRNAs by insulin in the skeletal muscle of type 2 diabetic patients, likely as consequences of altered SREBP-1c activation.	The microRNA signature in response to insulin reveals its implication in the transcriptional action of insulin in human skeletal muscle and the role of a sterol regulatory element-binding protein-1c/myocyte enhancer factor 2C pathway.	2009
microRNA	Homo sapiens	hsa-miR-133a	-	Type II diabetes mellitus	DOID:9352	E11	skeletal muscle	19720801	SREBP-1c	downregulation	microarray/real-time qPCR	array;PCR	Low-throughput	Sterol regulatory element-binding protein (SREBP)-1c and myocyte enhancer factor 2C were involved in the effect of insulin on miR-1 and miR-133a expression. Interestingly, we found an impaired regulation of miRNAs by insulin in the skeletal muscle of type 2 diabetic patients, likely as consequences of altered SREBP-1c activation.	The microRNA signature in response to insulin reveals its implication in the transcriptional action of insulin in human skeletal muscle and the role of a sterol regulatory element-binding protein-1c/myocyte enhancer factor 2C pathway.	2009
microRNA	Mus musculus	mmu-miR-103	MIMAT0000546	Obesity	DOID:9970	E66	liver	19727952	-	differential expression	real-time PCR	PCR	Low-throughput	The expression of several miRNAs changed in response to either obesity challenge, including miRNAs 107, 103, 30c, 30a-5p, 222, and 221.	Obesity and genetics regulate microRNAs in islets, liver and adipose of diabetic mice	2009
microRNA	Mus musculus	mmu-miR-107	MIMAT0000647	Obesity	DOID:9970	E66	liver	19727952	-	differential expression	real-time PCR	PCR	Low-throughput	The expression of several miRNAs changed in response to either obesity challenge, including miRNAs 107, 103, 30c, 30a-5p, 222, and 221.	Obesity and genetics regulate microRNAs in islets, liver and adipose of diabetic mice	2009
microRNA	Mus musculus	mmu-miR-132	MIMAT0000144	Obesity	DOID:9970	E66	liver	19727952	-	differential expression	real-time PCR	PCR	Low-throughput	MiRNAs 132 and 212 are genomically located on Chr 11, ~200 base pairs apart, suggesting they may be generated from a common pri-miRNA molecule (Vo et al. 2005), explaining why obesity regulates their expression equally.	Obesity and genetics regulate microRNAs in islets, liver and adipose of diabetic mice	2009
microRNA	Mus musculus	mmu-miR-212	MIMAT0000659	Obesity	DOID:9970	E66	liver	19727952	-	differential expression	real-time PCR	PCR	Low-throughput	MiRNAs 132 and 212 are genomically located on Chr 11, ~200 base pairs apart, suggesting they may be generated from a common pri-miRNA molecule (Vo et al. 2005), explaining why obesity regulates their expression equally.	Obesity and genetics regulate microRNAs in islets, liver and adipose of diabetic mice	2009
